fecha_registro;probalidad_lluvia;precipitacion;fecha_pronostico
2022-07-24;0,01;0,0;2022-07-24
2022-07-24;0,09;0,0;2022-07-25
2022-07-24;0,13;0,0;2022-07-26
2022-07-24;0,65;1,1;2022-07-27
2022-07-24;0,0;0,0;2022-07-28
2022-07-24;0,0;0,0;2022-07-29
2022-07-24;0,06;0,0;2022-07-30
2022-07-24;0,03;0,0;2022-07-31
2022-07-24;0,07;0,0;2022-08-01
2022-07-24;0,03;0,0;2022-08-02
2022-07-24;0,01;0,0;2022-08-03
2022-07-24;0,04;0,0;2022-08-04
2022-07-24;0,58;2,5;2022-08-05
2022-07-24;0,06;0,0;2022-08-06
2022-07-24;0,2;0,0;2022-08-07
2022-07-24;0,1;0,0;2022-08-08
2022-07-24;0,25;0,0;2022-08-09
2022-07-24;0,2;0,0;2022-08-10
2022-07-24;0,05;0,0;2022-08-11
2022-07-24;0,05;0,0;2022-08-12
2022-07-24;0,05;0,0;2022-08-13
2022-07-24;0,25;0,0;2022-08-14
2022-07-24;0,56;0,6;2022-08-15
2022-07-24;0,2;0,0;2022-08-16
2022-07-24;0,25;0,0;2022-08-17
2022-07-24;0,25;0,0;2022-08-18
2022-07-24;0,2;0,0;2022-08-19
2022-07-24;0,2;0,0;2022-08-20
2022-07-24;0,0;0,0;2022-08-21
2022-07-24;0,01;0,0;2022-08-22
2022-07-24;0,01;0,0;2022-08-23
2022-07-24;0,09;0,0;2022-08-24
2022-07-24;0,57;0,8;2022-08-25
2022-07-24;0,59;1,0;2022-08-26
2022-07-24;0,55;1,1;2022-08-27
2022-07-24;0,55;2,0;2022-08-28
2022-07-24;0,4;0,5;2022-08-29
2022-07-24;0,03;0,0;2022-08-30
2022-07-24;0,06;0,0;2022-08-31
2022-07-24;0,0;0,0;2022-09-01
2022-07-24;0,0;0,0;2022-09-02
2022-07-24;0,0;0,0;2022-09-03
2022-07-24;0,0;0,0;2022-09-04
2022-07-24;0,0;0,0;2022-09-05
2022-07-24;0,0;0,0;2022-09-06
2022-07-24;0,0;0,0;2022-09-07
2022-07-24;0,01;0,0;2022-09-08
2022-07-24;0,01;0,0;2022-09-09
2022-07-24;0,0;0,0;2022-09-10
2022-07-24;0,02;0,0;2022-09-11
2022-07-24;0,0;0,0;2022-09-12
2022-07-24;0,0;0,0;2022-09-13
2022-07-24;0,0;0,0;2022-09-14
2022-07-24;0,0;0,0;2022-09-15
2022-07-24;0,0;0,0;2022-09-16
2022-07-24;0,0;0,0;2022-09-17
2022-07-24;0,0;0,0;2022-09-18
2022-07-24;0,55;0,5;2022-09-19
2022-07-24;0,02;0,0;2022-09-20
2022-07-24;0,0;0,0;2022-09-21
2022-07-24;0,0;0,0;2022-09-22
2022-07-24;0,0;0,0;2022-09-23
2022-07-24;0,0;0,0;2022-09-24
2022-07-24;0,0;0,0;2022-09-25
2022-07-24;0,01;0,0;2022-09-26
2022-07-24;0,58;2,4;2022-09-27
2022-07-24;0,58;1,2;2022-09-28
2022-07-24;0,01;0,0;2022-09-29
2022-07-24;0,01;0,0;2022-09-30
2022-07-24;0,04;0,0;2022-10-01
2022-07-24;0,02;0,0;2022-10-02
2022-07-24;0,0;0,0;2022-10-03
2022-07-24;0,57;2,7;2022-10-04
2022-07-24;0,4;0,5;2022-10-05
2022-07-24;0,01;0,0;2022-10-06
2022-07-24;0,0;0,0;2022-10-07
2022-07-24;0,0;0,0;2022-10-08
2022-07-24;0,0;0,0;2022-10-09
2022-07-24;0,01;0,0;2022-10-10
2022-07-24;0,55;0,4;2022-10-11
2022-07-24;0,6;1,6;2022-10-12
2022-07-24;0,55;1,4;2022-10-13
2022-07-24;0,42;0,7;2022-10-14
2022-07-24;0,0;0,0;2022-10-15
2022-07-24;0,0;0,0;2022-10-16
2022-07-24;0,0;0,0;2022-10-17
2022-07-24;0,0;0,0;2022-10-18
2022-07-24;0,4;2,0;2022-10-19
2022-07-24;0,01;0,0;2022-10-20
2022-07-24;0,01;0,0;2022-10-21
